0-Control_ 1-High Carb	ENSMUSG00000000326	ENSMUSG00000000340	ENSMUSG00000000402	ENSMUSG00000001023	ENSMUSG00000001674	ENSMUSG00000001833	ENSMUSG00000002129	ENSMUSG00000003051	ENSMUSG00000003344	ENSMUSG00000003809
1	538.5010419	33.21511064	0.015169374	0	7.902047793	17.3431753	3.826677964	0.293684864	6.913143711	214.0241661
1	348.5954384	26.6674577	0	0	4.71952119	10.15869745	4.235129986	0.55829856	8.618155747	256.8004481
1	325.0854949	32.33760177	0.090883407	0	5.099682643	13.56877829	3.118240289	0.670299983	5.847293011	242.054967
1	457.0843577	29.7511589	0.048874294	0	5.501626475	16.13473005	3.236749797	0.756979998	6.900417192	255.408265
1	359.7627819	25.52141861	0.017695647	0	4.132223632	10.78633891	3.812361785	0.75370788	9.013201396	251.7428692
1	356.8208699	29.19084873	0.033935856	0	6.989884505	14.61752482	3.823439732	0.28470482	7.869260625	245.984621
1	244.7949835	40.23312936	0.072519876	0	4.950107798	10.50916926	4.135106898	1.053009365	8.278577592	247.0401113
1	382.6185787	33.53895167	0.037702243	0	8.44289809	21.18359007	3.425856734	0.243309942	6.625760163	244.9014308
1	358.3226169	31.31722346	0.043215461	0	5.727152222	17.40747649	4.164330806	0.873853059	8.006561451	220.2640118
1	390.0026558	25.19634616	0.015709824	0	5.04183773	13.29890872	3.833503595	0.283871646	7.131367149	250.2303108
1	275.9050097	40.34253958	0	0	7.827805822	15.62637681	4.159756975	1.017004813	8.171597648	231.3738334
1	275.1345038	25.11394016	0	0	5.401634215	11.20187727	3.56816187	0.535907533	5.801505751	255.6596156
1	289.1037499	27.15341541	0.025131546	0	4.27356485	9.819102361	4.033143184	0.356807973	8.792021361	258.3539623
1	310.5817656	30.23858263	0	0	5.063226562	11.41127759	3.74422069	0.797725458	6.828334362	241.1816853
0	145.996827	27.81086732	0	0	7.140510177	11.93269681	5.157533726	0.278687864	7.584216256	211.4804716
0	295.6845943	42.08274907	0	0	8.053689413	18.00033706	4.583881729	0.431319307	9.456193546	221.9247222
0	347.1340889	26.36209332	0.032181949	0	6.763511148	13.08907068	4.094538128	0.560749336	9.935692796	226.6856674
0	339.124056	30.57899211	0.021900001	0	7.880818997	13.19713231	4.050146942	0.367460058	9.305343551	202.2744289
0	316.6561581	26.73698511	0.013897929	0	6.490788523	12.31401541	3.696894432	0.484324598	9.363952723	207.0975426
1	349.1375439	27.06986263	0.015848415	0	5.959341046	11.74131692	4.851573578	0.450019345	8.865391914	174.7783422
1	294.6304061	34.79984693	0	0	9.397428766	19.42846483	4.893591139	0.275816344	8.136880928	176.3755932
1	348.4875751	21.60556897	0	0	6.053477259	16.20650238	4.436013631	0.577575484	8.678760543	179.3657214
1	224.6027475	24.91568252	0.031669025	0	7.338349909	10.69990468	3.916145324	0.429187096	8.135988193	200.0936412
1	280.1299212	21.16965284	0	0	5.453173744	10.82887983	4.720533057	0.477841796	10.60296362	189.6598079
1	322.0419014	32.31486638	0.022405983	0	10.70581304	22.316041	4.814845449	0.245813423	8.118814742	180.2475854
1	334.5851846	27.35419445	0	0.103660357	6.885655292	14.71027636	3.859346732	0.661100731	9.641269629	202.9563597
1	283.5535386	25.02420583	0.01179539	0	5.62183533	11.57175707	4.213735197	0.791659271	10.62455122	201.1119736
